ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;metatitle
G10030;G10030;Alex-Pol Pyzy Ziemniaczna 450g x 8 st.;;Alex-Pol;5,00;10,32;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750429;;;;;17;
G10031;G10031;Alex-Pol Pyzy z Miesem 450g x 8 st.;;Alex-Pol;5,00;11,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750436;;;;;17;
G10032;G10032;Alex-Pol Russkie Piroge 450 gr x 8st;;Alex-Pol;5,00;11,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750399;;;;;17;
G10033;G10033;Alex-Pol Uszka Kapusta + Grybi 350 gr x 10 st;;Alex-Pol;5,00;17,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232751792;;;;;17;
G10034;G10034;Alex-Pol Uszka z Grzybami Lesnymi 350g x 10 st.;;Alex-Pol;5,00;15,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232751112;;;;;17;
G10036;G10036;Almar zurek 500ml x 15 st;;Almar;5,00;7,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;15,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;53;
G10037;G10037;"Alpejka w proszku Emix"" 5St. x 340gr.""";;Alpejka;5,00;1,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;22,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;17;
G10038;G10038;Amino Barsz Zerwony 60 gr x 22 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;22,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;51;
G10039;G10039;Amino Grochowa 69 gr x 22 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10040;G10040;Amino Grybowa Zup 60gr x24st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;22,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10041;G10041;Amino Gulaszowa Zupa 60 gr x 22st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10042;G10042;Amino Ogorkowa Zup 60gr x 22 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;22,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10043;G10043;Amino Pieszarkowa 60 gr x 24 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10044;G10044;Amino Pomidorowa Zupa 60 gr x 22st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10045;G10045;Amino Rasol Pikantni 60 gr x 24st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10046;G10046;Amino Rasol Zlotysti 60gr x 24 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10047;G10047;Amino Rosol 60 gr x 24 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10048;G10048;Amino Suppen  66g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10049;G10049;Amino Suppen Flaki 62g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10050;G10050;Amino Suppen Grochowa z makaronem 69g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10051;G10051;Amino Suppen Grzybowa 60g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10052;G10052;Amino Suppen Gulaszowa 66g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10053;G10053;Amino Suppen Ogorkowa 64g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10054;G10054;Amino Suppen Pieczarkowa 68g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10055;G10055;Amino Suppen Pomidorowa 64g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10056;G10056;Amino Suppen Rosol z kuru 60g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10057;G10057;Amino Suppen Rosol z kuru pikantny 60g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10058;G10058;Amino Suppen Rosol Zlocisty 60g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10059;G10059;Amino Suppen Warzywna 58g x 24St.;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10060;G10060;Amino Warzywna 58 gr x 24 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10061;G10061;Amino Warzywny 60g x 24stk;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10062;G10062;Amino Zurek 60 gr x 22 st;;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
G10063;G10063;Apfel 13  kg  kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;22,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;52;
